,time,BTC-USD,MA
2025-06-30 18:03:40,0.16054501028806584,107643.8864,107915.93304
2025-06-30 19:03:35,0.16100733024691358,107268.6982,107873.465575
2025-06-30 20:03:18,0.16146810699588476,107618.4864,107835.02324000001
2025-06-30 21:03:55,0.1619358281893004,107590.7442,107779.24840000001
2025-06-30 22:03:19,0.16239416152263375,107170.4305,107708.86293000002
2025-06-30 23:00:38,0.1628364197530864,107151.5485,107639.8673
2025-07-01 00:03:44,0.1633233024691358,107135.6257,107569.0709
2025-07-01 01:03:09,0.16378176440329217,107385.5953,107517.22099999999
2025-07-01 02:03:12,0.16424511316872428,107258.789,107465.88614999999
2025-07-01 03:03:34,0.16471090534979424,107143.7868,107440.06874500001
2025-07-01 04:03:29,0.16517322530864198,107188.4848,107416.217765
2025-07-01 05:03:01,0.16563258744855966,106952.8053,107387.26236999998
2025-07-01 06:03:24,0.16609850823045266,106947.6953,107358.587655
2025-07-01 07:03:23,0.1665613425925926,106911.9922,107322.65911000001
2025-07-01 08:03:12,0.16702289094650205,107139.4087,107292.64975000001
2025-07-01 09:05:39,0.1675047582304527,106726.9188,107247.828695
2025-07-01 10:01:10,0.16793312757201645,106559.7434,107197.50047000001
2025-07-01 11:00:09,0.16838824588477366,106410.398,107166.72575499999
2025-07-01 12:03:27,0.1688766718106996,106565.4062,107118.57664999999
2025-07-01 13:03:18,0.16933847736625515,106471.6529,107062.10483000001
2025-07-01 14:03:29,0.1698028549382716,106830.2779,107021.42440499998
2025-07-01 15:03:19,0.1702645318930041,105922.4479,106954.11188999999
2025-07-01 16:01:00,0.17070961934156378,105993.5533,106872.865235
2025-07-01 17:03:43,0.17119354423868313,106118.5425,106799.25515000001
2025-07-01 18:03:40,0.17165612139917696,106274.384,106754.452825
2025-07-01 19:03:44,0.1721195987654321,105781.2691,106685.938855
2025-07-01 20:03:47,0.1725829475308642,105558.1795,106607.066545
2025-07-01 21:01:21,0.17302713477366255,105906.8115,106533.127355
2025-07-01 22:03:03,0.17350321502057614,105799.5389,106460.16484999999
2025-07-01 23:04:35,0.17397800925925927,105729.3034,106389.44068
2025-07-02 00:03:40,0.17443389917695473,105671.3756,106313.58521999998
2025-07-02 01:03:34,0.17489609053497943,105430.0699,106237.44845
2025-07-02 02:03:44,0.17536033950617283,105713.6247,106175.74492
2025-07-02 03:03:27,0.17582111625514404,105874.8885,106123.889735
2025-07-02 04:03:36,0.1762852366255144,106192.6191,106076.55025500001
2025-07-02 05:03:33,0.17674781378600823,106361.8273,106058.29568000001
2025-07-02 06:03:35,0.1772110339506173,106637.6719,106062.192105
2025-07-02 07:03:44,0.17767515432098765,107011.0965,106092.22703
2025-07-02 08:03:17,0.1781346450617284,107154.9396,106121.7037
2025-07-02 09:02:37,0.17859246399176953,107723.8672,106184.314415
2025-07-02 10:04:06,0.17906687242798353,107660.5961,106225.83032499999
2025-07-02 11:00:33,0.17950244341563787,107804.125,106319.91417999999
2025-07-02 12:08:18,0.18002520576131686,107491.8889,106394.83096
2025-07-02 13:03:53,0.18045408950617284,107379.0112,106457.85439499999
2025-07-02 14:04:02,0.18091820987654322,107768.9427,106532.58233
2025-07-02 15:03:58,0.18138065843621398,108049.64,106646.000875
2025-07-02 16:04:05,0.18184452160493828,108719.6104,106804.07242000001
2025-07-02 17:04:00,0.18230684156378602,109524.796,106984.971645
2025-07-02 18:04:16,0.1827718621399177,109130.5191,107151.520655
2025-07-02 19:01:32,0.18321373456790124,109512.1866,107340.664815
2025-07-02 20:03:39,0.18369302983539096,109608.3445,107537.51325999999
2025-07-02 21:02:06,0.1841440329218107,109245.4847,107728.28400000001
2025-07-02 22:03:52,0.18462062757201647,109498.2521,107917.51537
2025-07-02 23:03:49,0.18508320473251028,109172.6759,108082.40474
2025-07-03 00:03:57,0.18554719650205762,108876.3308,108216.590325
2025-07-03 01:03:24,0.1860059156378601,108967.9272,108346.89532000001
2025-07-03 02:03:30,0.1864696502057613,109057.6681,108467.89513
2025-07-03 03:03:59,0.1869363425925926,108725.1387,108553.59724
2025-07-03 04:04:07,0.18740033436213993,108708.783,108631.28941
2025-07-03 05:03:46,0.18786059670781893,108833.5558,108686.77384
2025-07-03 06:03:58,0.18832510288065843,109362.5759,108771.87283000001
2025-07-03 07:03:07,0.1887815072016461,109508.3741,108857.085285
2025-07-03 08:00:48,0.18922659465020575,109330.9752,108949.03959999999
2025-07-03 09:03:55,0.1897136059670782,109459.7003,109053.074055
2025-07-03 10:02:25,0.19016499485596708,110005.5091,109164.90237499999
2025-07-03 11:03:45,0.19063824588477365,109847.4169,109254.79122000001
2025-07-03 12:03:44,0.19110108024691358,109630.7358,109300.34749
2025-07-03 13:03:54,0.19156532921810698,109153.2981,109281.77259499999
2025-07-03 14:03:52,0.19202803497942386,110306.8913,109340.59120499999
2025-07-03 15:03:42,0.19248971193415637,109729.9936,109351.48155499999
2025-07-03 16:03:41,0.1929525462962963,109173.446,109329.73662999998
2025-07-03 17:03:57,0.19341756687242798,109389.2685,109336.92582
2025-07-03 18:04:10,0.19388220164609055,109585.3165,109341.27903999998
2025-07-03 19:03:33,0.1943404063786008,109666.1421,109365.95234999999
2025-07-03 20:00:49,0.19478227880658436,109824.377,109413.35466
2025-07-03 21:02:14,0.19525617283950616,109930.5346,109461.48503000001
2025-07-03 22:07:03,0.1957563014403292,109844.8997,109500.84660999998
2025-07-03 23:03:45,0.19619380144032922,109740.8804,109551.633695
2025-07-04 00:03:47,0.19665702160493828,109602.2048,109596.304785
2025-07-04 01:04:02,0.19712191358024692,109521.7326,109630.713625
2025-07-04 02:03:36,0.1975815329218107,109547.5441,109639.962035
2025-07-04 03:04:04,0.19804809670781892,109217.0131,109625.393985
2025-07-04 04:03:46,0.1985087448559671,109275.1747,109622.60396000001
2025-07-04 05:03:41,0.1989710648148148,109025.3637,109600.88713
2025-07-04 06:03:54,0.19943569958847737,109089.3321,109555.07828000002
2025-07-04 07:03:46,0.19989763374485597,109032.5104,109514.33295499999
2025-07-04 08:03:54,0.20036162551440329,108782.5828,109471.925305
2025-07-04 09:03:48,0.20082381687242798,108807.5545,109454.63812500001
2025-07-04 10:02:32,0.2012770061728395,108991.7151,109388.879315
2025-07-04 11:04:07,0.20175218621399177,108939.6908,109349.364175
2025-07-04 12:03:45,0.20221231995884772,108947.6092,109338.07233499999
2025-07-04 13:03:49,0.20267579732510288,108779.552,109307.58651000001
2025-07-04 14:03:34,0.20313683127572016,108080.142,109232.327785
2025-07-04 15:03:39,0.20360043724279836,107875.1208,109142.77672
2025-07-04 16:04:09,0.20406725823045269,107683.3779,109035.726765
2025-07-04 17:04:12,0.20453060699588477,107663.1913,108922.3596
2025-07-04 18:03:47,0.2049903549382716,107902.8511,108825.25717
2025-07-04 19:01:44,0.2054375,107587.3666,108717.58148000001
2025-07-04 20:03:57,0.205917566872428,107474.6218,108611.20233
2025-07-04 21:03:56,0.2063804012345679,107739.1946,108522.07543
2025-07-04 22:03:54,0.20684310699588476,107938.4549,108441.62097
2025-07-04 23:03:54,0.20730606995884773,108260.0474,108393.772685
2025-07-05 00:03:59,0.20776967592592593,108015.9192,108330.80991
2025-07-05 01:03:59,0.20823263888888888,108221.9894,108290.641195
2025-07-05 02:02:18,0.20868261316872427,107985.2424,108235.43671
2025-07-05 03:01:35,0.2091400462962963,108080.6928,108187.84583
2025-07-05 04:03:41,0.20961921296296296,108191.0195,108158.267665
2025-07-05 05:03:54,0.2100838477366255,108219.7754,108128.87871
2025-07-05 06:03:40,0.21054501028806585,108170.0458,108087.795245
2025-07-05 07:01:56,0.2109945987654321,108268.477,108054.234555
2025-07-05 08:03:26,0.21146913580246915,108043.8303,108009.04561
2025-07-05 09:01:27,0.21191679526748972,108026.8622,107971.41112000002
2025-07-05 10:03:53,0.21239853395061728,108099.4009,107972.37406500001
2025-07-05 11:03:39,0.2128596965020576,108159.8407,107986.61006
2025-07-05 12:03:49,0.21332394547325104,108174.6443,108011.17338000001
2025-07-05 13:03:40,0.2137857510288066,108158.506,108035.939115
2025-07-05 14:03:28,0.214247170781893,108144.8779,108048.04045500001
2025-07-05 15:03:51,0.214713091563786,108203.3907,108078.84166
2025-07-05 16:03:28,0.21517309670781892,108079.8732,108109.10422999998
2025-07-05 17:04:11,0.21564158950617285,108094.1211,108126.85055500001
2025-07-05 18:01:24,0.21608307613168723,108092.7936,108134.56749
2025-07-05 19:03:49,0.21656468621399177,108029.0013,108123.015185
2025-07-05 20:04:05,0.21702970679012346,108146.48,108129.543225
2025-07-05 21:03:25,0.2174875257201646,108114.2362,108124.155565
2025-07-05 22:03:36,0.21795190329218106,108106.8317,108130.23503000001
2025-07-05 23:03:50,0.21841666666666668,108207.5067,108136.575725
2025-07-06 00:03:57,0.21888052983539094,108216.0162,108137.82556
2025-07-06 01:02:05,0.21932908950617283,108221.0136,108137.88747
2025-07-06 02:03:15,0.21980105452674897,108188.9742,108138.83389000001
2025-07-06 03:03:52,0.22026877572016462,108135.7019,108132.195135
2025-07-06 04:03:47,0.22073109567901233,108062.4485,108133.126045
2025-07-06 05:00:45,0.22117065329218108,108009.1677,108132.24132
2025-07-06 06:03:32,0.22165509259259258,108023.5612,108128.44933499998
2025-07-06 07:01:53,0.22210532407407407,108153.6273,108128.138665
2025-07-06 08:01:12,0.22256301440329218,108066.6288,108122.73789000002
2025-07-06 09:03:43,0.22304539609053498,108018.4762,108115.73640000001
2025-07-06 10:00:50,0.2234861111111111,107924.3715,108104.71108000001
2025-07-06 11:02:09,0.22395923353909464,108014.1527,108095.24918
2025-07-06 12:03:51,0.22443531378600823,108079.7883,108095.244935
2025-07-06 13:03:43,0.22489724794238683,108226.7782,108101.87779000001
2025-07-06 14:04:04,0.22536291152263374,108852.2428,108139.85024999999
2025-07-06 15:00:49,0.2258007973251029,108881.0029,108182.45032999999
2025-07-06 16:03:42,0.22628600823045267,108842.0046,108217.22656000001
2025-07-06 17:04:11,0.22675270061728395,108873.2668,108255.17809000002
2025-07-06 18:03:54,0.22721347736625513,108922.672,108295.970105
2025-07-06 19:04:01,0.22767734053497943,108465.2096,108308.85525
2025-07-06 20:03:54,0.22813940329218108,108519.4883,108324.028855
2025-07-06 21:04:00,0.2286031378600823,108725.7507,108349.26570999999
2025-07-06 22:03:01,0.2290585133744856,109190.0781,108399.320905
2025-07-06 23:00:31,0.22950218621399177,109273.0168,108456.18665
2025-07-07 00:03:30,0.22998816872427982,109222.282,108514.17832500002
2025-07-07 01:03:53,0.23045408950617283,108884.8392,108557.9619
2025-07-07 02:03:49,0.2309165380658436,109040.0365,108608.785665
2025-07-07 03:03:39,0.23137821502057612,109391.4973,108670.67916500001
2025-07-07 04:08:26,0.23187808641975308,109426.4124,108738.66834500001
2025-07-07 05:03:34,0.23230349794238683,109141.4662,108794.817845
2025-07-07 06:02:27,0.23275784465020577,109060.6887,108851.633705
2025-07-07 07:01:38,0.2332145061728395,108794.7225,108890.66219500001
2025-07-07 08:03:33,0.23369225823045267,109055.9598,108939.47076999999
2025-07-07 09:03:38,0.23415586419753087,108998.5708,108978.0604
2025-07-07 10:03:38,0.23461882716049381,108837.9695,108977.346735
2025-07-07 11:04:34,0.2350889917695473,108691.1814,108967.85566
2025-07-07 12:03:23,0.23554282407407406,108648.1402,108958.16244000001
2025-07-07 13:03:46,0.23600874485596707,108343.9337,108931.69578500002
2025-07-07 14:03:46,0.23647170781893004,108435.9574,108907.36005500001
2025-07-07 15:00:45,0.2369113940329218,108221.2205,108895.16059999999
2025-07-07 16:03:19,0.23739416152263373,108344.8309,108886.42773
2025-07-07 17:03:47,0.23786072530864197,107980.7996,108849.18017500002
2025-07-07 18:03:46,0.2383235596707819,107948.589,108787.10571999999
2025-07-07 19:03:51,0.2387871656378601,107962.3731,108721.573535
2025-07-07 20:04:01,0.2392514146090535,108109.173,108665.91808500001
2025-07-07 21:04:03,0.23971463477366256,107930.8828,108618.22026500001
2025-07-07 22:03:43,0.2401750257201646,108167.2214,108574.57951
2025-07-07 23:03:39,0.2406374742798354,108032.8918,108506.64923499999
2025-07-08 00:03:49,0.2411017232510288,108294.1479,108450.03601000001
2025-07-08 01:03:33,0.24156262860082303,108342.4132,108410.08336
2025-07-08 02:04:00,0.24202906378600822,107869.4548,108350.52166499998
2025-07-08 03:03:19,0.24248675411522633,107720.029,108296.78699000001
2025-07-08 04:03:48,0.2429534465020576,107920.4867,108240.013335
2025-07-08 05:03:47,0.24341628086419753,108007.5043,108190.46001
2025-07-08 06:03:36,0.243877829218107,108192.3965,108158.18136
2025-07-08 07:00:20,0.2443155864197531,108322.0062,108139.72260000001
2025-07-08 08:03:49,0.2448054269547325,108449.9641,108129.813795
2025-07-08 09:03:08,0.24526311728395062,108276.7654,108126.45538000001
2025-07-08 10:02:45,0.24572312242798353,108458.1597,108127.56549499999
2025-07-08 11:03:40,0.246193158436214,108843.0377,108158.65635500001
2025-07-08 12:03:50,0.2466574074074074,108772.6214,108180.04587999999
2025-07-08 13:03:53,0.24712075617283952,108904.874,108226.24960000001
2025-07-08 14:00:45,0.24755954218106996,109073.0714,108282.47371999998
2025-07-08 15:03:46,0.2480457818930041,108406.1743,108304.66377999999
2025-07-08 16:03:59,0.24851041666666668,108269.0472,108312.65749000001
2025-07-08 17:03:28,0.24896939300411522,108416.6739,108336.947045
2025-07-08 18:04:06,0.24943724279835391,108941.0717,108375.63956
2025-07-08 19:04:05,0.24990007716049384,109116.1415,108429.80204499999
2025-07-08 20:04:02,0.25036265432098764,108784.8696,108454.33813
2025-07-08 21:03:42,0.2508230452674897,108675.3571,108470.98532499999
2025-07-08 22:03:04,0.25128112139917697,108930.2835,108524.02676
2025-07-08 23:03:58,0.25175102880658434,108920.1911,108584.03486500001
2025-07-09 00:03:56,0.25221373456790125,108945.709,108635.29598000001
2025-07-09 01:03:55,0.25267656893004115,108962.4726,108683.044395
2025-07-09 02:04:07,0.25314107510288064,108795.9626,108713.2227
2025-07-09 03:03:16,0.2535974794238683,108649.6935,108729.60706499999
2025-07-09 04:03:22,0.25406121399176956,108382.604,108726.23906
2025-07-09 05:02:50,0.2545200617283951,108542.0654,108739.50405999999
2025-07-09 06:03:13,0.2549859825102881,108775.9921,108755.39568
2025-07-09 07:03:56,0.25545447530864196,108835.8967,108755.03863
2025-07-09 08:02:04,0.25590303497942385,108712.3031,108752.022715
2025-07-09 09:00:27,0.25635352366255143,108699.6991,108741.76397
2025-07-09 10:00:55,0.25682008744855966,108769.5994,108726.59036999999
2025-07-09 11:03:25,0.2573023405349794,108873.6902,108749.96616499999
2025-07-09 12:03:26,0.25776543209876546,109082.5956,108790.643585
2025-07-09 13:00:37,0.2582066615226337,109433.074,108841.46358999998
2025-07-09 14:03:58,0.2586954732510288,109416.1866,108865.219335
2025-07-09 15:03:59,0.2591585648148148,108843.2737,108851.575945
2025-07-09 16:03:17,0.25961612654320987,109069.4785,108865.80639
2025-07-09 17:03:24,0.26007998971193413,109408.023,108902.43968500002
2025-07-09 18:03:51,0.2605464248971193,109153.4277,108913.596895
2025-07-09 19:03:51,0.2610093878600823,109540.1098,108944.59283000001
2025-07-09 20:03:47,0.2614718364197531,111741.5119,109084.382975
2025-07-09 21:03:40,0.26193389917695475,110751.6496,109173.84182500001
2025-07-09 22:03:17,0.26239390432098764,110968.684,109282.47789499999
2025-07-09 23:03:50,0.2628611111111111,111385.3826,109419.26235
2025-07-10 00:08:09,0.2633573816872428,111309.1884,109565.59157
2025-07-10 01:03:41,0.2637858796296296,111007.4375,109688.860175
2025-07-10 02:03:56,0.26425077160493826,111287.5405,109814.437595
2025-07-10 03:03:41,0.26471180555555557,111254.0095,109935.34323500001
2025-07-10 04:03:43,0.2651750257201646,111090.8677,110054.271465
2025-07-10 05:03:40,0.26563760288065846,111167.0686,110177.63994
2025-07-10 06:03:54,0.26610236625514405,111103.5265,110294.336295
